temperature,humidity,rainfall,soil_moisture,plant_age_days,light_intensity,crop_type,risk_level
34.9,37.4,0.0,34.5,86,60.8,sugarcane,Medium
17.2,69.1,2.1,76.0,88,82.4,wheat,Low
28.7,71.9,1.9,41.2,154,56.3,cotton,Low
19.6,51.2,3.3,65.8,98,70.9,rice,Low
35.9,24.7,1.8,78.5,37,88.1,maize,Low
19.4,68.7,0.0,62.8,40,41.5,soybean,Low
31.7,40.1,4.1,49.4,141,67.1,cotton,Low
18.9,43.6,1.3,21.6,166,84.9,maize,Low
39.5,36.6,2.5,54.4,13,98.2,maize,Medium
29.8,38.8,1.2,62.3,20,83.8,wheat,Low
24.2,65.8,4.4,56.6,72,68.0,chili,Low
31.9,51.4,1.1,40.9,127,72.2,potato,Low
10.4,54.2,6.0,93.4,78,79.6,tomato,Low
22.0,42.3,4.0,56.9,32,57.2,wheat,Low
36.9,17.2,1.0,44.4,45,97.1,onion,Low
27.3,63.2,2.6,74.8,14,48.6,chili,Low
35.7,75.9,38.9,81.1,150,38.3,cotton,Medium
15.3,63.8,0.0,29.7,89,72.2,sugarcane,Low
30.3,86.2,14.6,71.5,136,61.7,cotton,Low
26.6,82.0,18.0,80.4,82,47.0,soybean,Low
30.1,21.9,2.0,58.3,35,94.6,sugarcane,Low
19.4,46.2,2.9,65.4,125,58.8,tomato,Low
24.7,81.2,15.1,65.2,142,37.6,potato,Medium
23.7,65.6,6.5,79.7,121,57.7,sugarcane,Low
26.1,91.2,10.0,94.5,22,48.5,tomato,Critical
26.8,89.3,32.8,90.4,119,35.6,chili,Critical
36.8,30.3,2.2,78.7,10,89.2,onion,Medium
26.9,64.9,5.7,74.7,174,49.7,chili,Low
28.3,26.5,1.7,52.4,64,61.6,rice,Low
35.1,43.6,0.0,72.6,82,68.5,rice,Low
13.9,52.6,0.0,76.5,93,65.7,soybean,Low
19.0,46.9,2.7,68.3,41,77.9,soybean,Low
33.3,25.8,1.3,36.1,18,65.7,soybean,Medium
32.3,94.2,24.8,67.4,8,21.3,maize,High
41.4,35.8,1.1,35.7,83,64.3,chili,Low
26.8,70.7,4.8,64.5,61,55.3,onion,Low
24.6,64.4,5.3,93.8,130,68.0,maize,Low
23.7,72.7,7.0,78.3,20,62.9,chili,Medium
26.6,92.4,11.8,92.7,175,35.4,rice,High
20.1,59.7,7.0,75.1,177,61.6,chili,Low
32.4,35.5,2.5,79.4,67,68.5,wheat,Low
21.9,62.2,4.6,58.2,19,64.8,potato,Low
17.7,68.8,0.9,36.3,126,55.5,soybean,Low
23.0,67.6,2.9,75.7,106,68.5,wheat,Low
29.9,67.1,9.4,61.9,93,74.5,maize,Low
38.2,48.2,0.8,49.4,120,69.7,soybean,Low
41.9,40.1,2.3,29.3,167,91.0,soybean,Low
19.4,57.2,4.1,53.3,147,58.5,soybean,Low
29.0,91.0,22.3,80.0,67,32.4,sugarcane,Medium
23.2,65.3,3.2,35.1,97,73.7,cotton,Low
38.3,26.4,1.7,68.9,115,78.7,maize,Low
31.1,29.2,0.0,49.5,167,92.0,maize,Low
21.6,54.7,3.8,76.6,123,59.2,soybean,Low
28.8,76.0,8.1,83.1,69,55.1,potato,Medium
26.5,66.7,10.1,84.6,97,58.8,wheat,Low
24.9,82.8,27.1,93.8,89,26.6,onion,Critical
36.3,29.5,0.3,29.0,133,76.6,tomato,Medium
18.4,66.2,10.1,78.2,57,64.7,rice,Low
11.7,41.2,1.5,51.0,67,47.9,chili,Low
32.0,41.4,1.8,73.0,162,82.6,onion,Low
33.1,39.2,0.0,26.8,122,96.6,rice,Medium
16.9,47.9,2.9,75.1,81,62.1,chili,Low
24.3,76.2,22.0,82.2,129,23.2,sugarcane,High
37.0,33.3,0.0,77.8,103,66.0,cotton,Low
27.6,70.8,9.5,65.9,78,59.0,chili,Low
27.1,76.5,7.3,79.1,117,57.9,chili,Medium
23.1,40.5,2.4,68.6,58,81.4,potato,Low
21.3,56.5,4.6,36.9,141,54.5,maize,Low
18.2,62.2,3.9,79.5,20,45.4,tomato,Low
32.1,33.6,0.0,42.5,111,71.2,cotton,High
27.8,68.2,9.2,85.6,28,66.8,wheat,Medium
23.3,66.1,3.2,54.7,145,51.5,chili,Low
23.4,87.8,37.7,67.1,114,0.0,sugarcane,Critical
13.8,58.7,0.0,57.5,106,54.4,cotton,Low
26.3,73.4,16.9,94.6,35,38.1,soybean,Medium
35.8,41.4,0.0,58.5,39,78.4,soybean,Low
28.2,77.0,33.0,63.0,60,33.6,maize,Medium
37.4,42.5,1.1,56.1,146,66.5,wheat,Low
11.5,59.3,4.2,26.8,103,72.4,rice,Low
34.1,92.4,14.8,66.0,179,29.6,chili,Low
29.8,76.7,40.7,74.8,111,20.1,wheat,Critical
28.0,76.3,14.7,73.7,88,19.8,soybean,Medium
17.6,62.5,0.1,60.0,84,50.8,wheat,Low
24.3,85.3,18.6,64.4,100,16.8,cotton,Medium
25.1,81.3,39.1,77.5,19,22.8,wheat,Critical
34.4,35.7,1.6,34.7,8,67.7,maize,Medium
41.5,35.2,0.8,36.3,86,74.5,cotton,Medium
11.5,45.8,3.5,66.4,77,76.5,wheat,Low
27.7,81.9,15.7,85.6,55,38.3,chili,Medium
32.2,33.3,1.2,42.6,173,72.7,onion,Low
33.3,45.7,0.5,62.1,110,62.9,potato,Low
30.6,63.4,9.7,68.3,38,63.8,sugarcane,Low
16.5,50.0,4.2,38.8,124,65.1,soybean,Low
24.9,50.4,1.4,22.4,159,79.4,wheat,Low
40.1,32.3,1.9,64.9,147,76.3,wheat,Low
28.1,73.7,35.4,84.0,100,34.4,potato,Medium
23.4,44.2,3.2,27.4,89,80.5,maize,Low
22.0,80.4,10.6,69.6,52,25.8,chili,Medium
38.1,35.0,0.0,34.9,139,69.1,maize,Medium
32.3,83.1,25.5,60.9,51,18.6,onion,Medium
30.2,82.0,18.0,88.6,141,14.8,tomato,High
38.9,43.1,2.3,74.8,96,76.0,rice,Low
37.3,30.9,0.8,56.1,64,70.2,maize,Low
23.2,61.6,9.4,65.2,10,53.4,rice,Low
23.3,54.0,0.1,67.5,116,54.0,wheat,Low
15.6,67.0,4.2,64.0,83,53.6,chili,Low
30.0,73.7,4.3,76.2,31,64.8,rice,Low
21.6,53.5,5.8,75.6,90,69.7,cotton,Low
15.4,46.2,3.7,41.1,101,83.1,wheat,Low
31.3,86.3,15.1,71.2,10,13.7,soybean,High
23.1,69.2,3.7,76.5,115,80.7,cotton,Low
24.3,65.0,7.3,70.4,77,48.7,cotton,Low
24.4,65.0,7.7,82.3,48,65.4,onion,Low
28.0,72.6,8.3,72.9,102,58.0,wheat,Low
13.9,52.7,4.0,33.7,155,40.0,chili,Low
26.4,79.2,6.6,77.6,13,48.1,rice,High
29.3,43.0,4.5,46.1,179,96.0,maize,Low
14.3,37.2,0.9,67.2,8,57.6,cotton,Low
25.6,73.7,37.3,90.4,78,35.6,soybean,High
22.6,66.2,2.2,22.3,107,71.0,sugarcane,Medium
28.8,93.9,34.4,63.4,180,18.0,potato,Critical
33.5,22.9,1.1,64.5,109,76.3,potato,Low
26.8,33.4,2.0,70.2,56,87.4,rice,Low
30.4,78.2,33.3,68.5,12,13.5,potato,High
15.3,64.8,2.3,71.4,59,50.4,chili,Low
32.9,39.8,3.7,68.1,158,86.5,potato,Low
19.1,50.0,3.0,20.4,31,69.4,tomato,Low
15.0,70.3,3.7,37.9,171,65.5,sugarcane,Low
30.0,72.8,8.5,80.4,14,52.2,rice,Medium
33.4,31.5,1.8,70.4,48,70.3,maize,Low
22.1,67.0,1.9,33.4,95,65.9,wheat,Low
27.5,67.9,6.8,62.5,163,66.4,tomato,Low
14.7,71.6,4.2,39.0,41,91.0,soybean,Low
27.1,86.3,9.9,77.1,45,35.1,cotton,Medium
26.2,70.9,2.1,65.4,87,54.4,maize,Low
33.5,25.8,1.6,30.0,83,82.3,onion,Low
26.3,68.6,11.7,65.8,53,62.4,tomato,Low
25.7,88.1,28.2,73.1,14,33.7,soybean,High
26.1,80.4,12.6,76.6,69,22.2,maize,Medium
37.2,34.7,1.2,50.7,31,72.3,cotton,Medium
22.5,63.7,4.8,74.6,132,67.2,wheat,Low
14.4,43.4,0.4,63.4,24,71.6,chili,Low
30.8,64.6,3.5,45.6,85,48.7,potato,Low
31.0,77.5,28.4,90.7,73,48.0,wheat,Critical
29.2,93.8,36.5,64.6,33,28.7,cotton,High
33.2,32.4,0.0,72.8,180,78.9,rice,Low
18.7,70.5,4.7,63.4,152,63.9,chili,Low
16.7,49.1,2.2,70.3,43,66.5,potato,Low
27.0,81.6,34.5,61.8,76,8.5,rice,High
25.4,79.3,6.3,86.1,132,48.7,potato,High
30.8,95.0,36.4,72.7,92,23.8,rice,Critical
38.4,39.5,0.7,33.3,173,68.1,rice,Low
23.7,42.2,4.1,27.2,53,74.2,tomato,Low
36.1,18.0,2.5,47.4,120,79.3,soybean,Low
27.0,81.2,23.7,66.1,153,28.0,chili,High
23.8,81.4,23.7,73.9,75,31.4,cotton,High
36.3,37.5,0.6,33.0,166,91.7,cotton,Low
21.2,60.6,5.4,86.6,34,71.1,potato,Low
22.2,54.1,1.9,79.0,46,45.8,soybean,Low
39.5,36.5,0.2,71.9,148,92.6,tomato,Low
17.8,39.1,4.6,32.2,69,69.0,potato,Low
40.1,34.7,0.0,46.9,80,93.3,chili,Low
26.9,82.1,27.3,61.4,44,13.8,cotton,Critical
27.5,76.9,33.3,67.7,139,30.6,sugarcane,High
35.7,35.2,0.8,51.8,163,71.0,onion,Medium
24.1,89.7,37.6,92.1,102,38.0,onion,Critical
9.7,56.0,1.4,50.8,87,57.4,onion,Low
42.0,32.0,0.0,32.3,31,84.9,wheat,Medium
26.4,75.5,12.9,88.8,152,23.9,soybean,High
23.6,58.0,6.0,61.6,154,63.9,tomato,Low
24.8,86.8,37.3,78.7,45,22.0,onion,High
29.4,70.6,6.4,73.1,170,63.2,cotton,Low
30.7,17.1,1.2,32.7,93,72.1,onion,Low
32.6,30.5,1.0,47.7,145,84.7,onion,Low
11.0,59.1,0.7,39.1,54,71.8,wheat,Low
18.3,60.7,1.4,67.1,68,45.0,chili,Low
9.2,64.4,1.0,24.9,160,49.3,tomato,Low
41.8,40.3,3.0,54.7,153,79.2,tomato,Low
16.8,64.9,2.1,28.0,79,50.1,rice,Low
24.2,91.9,33.7,65.6,119,23.4,onion,High
28.5,61.0,3.4,43.3,97,52.9,cotton,Low
23.8,93.2,28.8,66.1,150,35.5,chili,Medium
14.1,64.4,4.2,72.9,133,52.7,wheat,Low
31.1,23.5,0.0,68.7,111,80.9,chili,Low
21.4,63.5,2.2,73.4,15,68.1,chili,Low
27.5,81.4,37.7,93.2,77,24.0,cotton,Critical
26.0,72.3,7.5,72.0,180,52.4,chili,Low
25.1,80.0,34.7,66.2,29,14.3,chili,Critical
23.2,91.2,9.3,73.0,112,55.2,onion,Low
25.0,62.6,6.6,74.9,30,59.0,rice,Low
22.4,56.3,3.8,59.3,101,34.3,wheat,Low
26.5,68.7,8.0,73.9,179,59.1,sugarcane,Low
25.9,62.3,6.9,64.2,173,67.2,onion,Low
29.1,69.7,8.7,65.6,18,60.6,potato,Medium
35.6,37.0,1.2,56.8,107,82.5,wheat,Low
16.7,60.4,2.6,37.2,137,67.5,onion,Low
37.9,34.1,3.1,43.7,176,62.7,onion,Medium
36.2,21.1,1.6,33.6,75,64.2,maize,Medium
25.6,84.1,19.1,88.5,142,42.5,soybean,Medium
22.9,62.3,4.9,71.7,155,57.1,maize,Low
38.3,22.7,3.3,43.9,28,62.3,soybean,Medium
29.2,81.7,27.9,77.5,53,45.5,sugarcane,High
35.9,42.3,0.8,56.8,131,75.8,tomato,Low
29.6,94.9,35.7,69.8,135,13.7,onion,High
28.4,67.8,7.5,71.0,122,62.0,rice,Low
28.7,83.2,36.2,72.0,161,21.7,rice,High
17.4,48.3,5.3,79.4,65,70.6,soybean,Low
32.9,39.7,0.0,52.0,137,94.0,soybean,Low
29.3,93.9,25.0,72.6,97,24.6,tomato,High
13.6,61.9,1.7,41.3,77,58.2,onion,Low
25.0,79.6,14.6,74.2,151,48.6,chili,Medium
25.5,83.4,17.5,86.2,97,20.2,wheat,High
40.0,23.3,2.2,23.8,29,91.2,cotton,Critical
21.5,79.7,18.7,68.0,84,42.6,chili,Medium
34.2,27.0,2.0,52.9,74,84.7,cotton,Medium
33.9,43.3,0.1,52.4,128,91.6,cotton,Low
22.0,71.6,8.8,93.1,130,58.0,sugarcane,Medium
8.6,48.0,0.0,35.0,106,66.1,chili,Low
30.3,30.9,3.5,68.5,141,90.7,soybean,Low
40.9,38.2,1.0,29.1,9,74.4,soybean,High
14.0,61.1,0.0,79.9,132,57.4,wheat,Low
29.4,70.0,34.3,88.6,69,18.2,chili,High
27.3,68.8,5.4,73.6,126,55.2,potato,Low
11.9,51.6,0.0,71.8,18,54.9,tomato,Low
11.2,61.2,0.7,29.3,157,72.1,soybean,Low
34.2,45.5,1.7,67.5,142,84.5,wheat,Low
23.1,54.8,3.2,53.5,117,50.0,onion,Low
24.2,77.2,5.3,78.6,22,54.2,onion,Medium
18.0,58.4,4.4,63.3,87,60.2,onion,Low
22.1,58.4,3.5,24.0,173,54.8,onion,Low
30.4,29.0,1.1,42.0,17,74.8,rice,Low
26.7,91.5,33.6,88.8,111,22.3,maize,Critical
17.3,62.6,0.7,31.4,103,63.7,maize,Low
39.3,32.7,1.6,45.6,175,80.5,onion,Medium
28.2,69.2,9.2,74.4,100,56.4,onion,Low
17.8,62.2,4.6,20.0,106,70.7,soybean,Low
42.3,26.9,2.4,75.1,75,64.2,rice,Low
30.0,27.1,1.8,44.0,151,75.9,onion,Low
21.8,75.1,8.0,73.4,152,62.4,sugarcane,Medium
16.1,63.2,4.6,58.0,7,71.3,rice,Low
26.1,84.1,16.0,80.1,157,43.5,onion,Medium
35.4,26.8,0.9,50.1,107,64.2,wheat,Low
25.4,68.6,6.4,71.3,115,68.4,cotton,Low
23.3,80.3,19.4,81.6,94,8.0,maize,High
22.2,77.3,9.0,92.4,163,72.6,cotton,High
27.3,82.0,19.9,79.2,71,22.9,tomato,Low
22.3,75.0,4.4,76.7,172,68.5,rice,Low
25.0,61.5,2.3,50.5,102,69.7,wheat,Low
21.3,78.4,11.2,86.1,105,25.5,chili,High
19.2,71.9,4.8,73.4,104,52.1,rice,Low
12.9,49.0,4.0,33.6,180,56.4,onion,Low
34.1,35.0,0.0,71.8,56,82.0,potato,Low
38.1,43.3,0.0,31.0,35,71.9,onion,Low
31.6,81.1,25.2,65.3,75,33.7,cotton,High
20.1,56.6,0.0,48.1,159,43.7,rice,Low
39.1,24.9,0.1,33.4,110,69.9,sugarcane,Low
24.2,90.2,31.2,81.3,15,40.0,potato,High
18.3,54.6,3.1,69.6,121,43.0,soybean,Low
31.6,56.9,10.8,76.1,78,45.1,onion,Low
21.5,45.5,2.6,76.3,154,46.9,soybean,Low
15.7,41.4,0.2,63.1,46,58.2,soybean,Low
23.1,86.4,21.8,79.3,101,32.7,wheat,High
32.3,23.7,0.3,27.1,51,93.2,sugarcane,Medium
30.1,32.0,1.5,55.3,60,73.3,cotton,Low
26.3,83.2,33.9,65.1,14,15.8,wheat,Critical
15.8,70.6,0.5,67.2,151,75.2,rice,Low
26.0,41.9,2.8,48.2,79,37.0,maize,Low
13.8,47.3,0.0,49.0,27,55.1,wheat,Low
22.6,56.7,4.3,49.9,166,47.7,tomato,Low
38.6,20.6,2.7,44.8,111,98.5,cotton,Medium
31.3,88.8,19.4,71.9,90,26.8,potato,Medium
32.0,98.8,24.1,82.0,44,14.3,maize,Critical
26.7,68.0,2.5,54.6,58,65.6,sugarcane,Low
13.3,54.8,1.3,55.7,52,63.6,sugarcane,Low
23.7,78.8,34.2,87.5,100,16.0,sugarcane,Critical
29.8,85.5,17.1,65.0,88,22.0,potato,High
29.8,16.3,1.5,40.0,27,81.8,onion,Low
27.2,84.4,20.0,78.6,75,13.0,rice,Medium
28.9,26.6,0.0,54.4,77,77.9,tomato,Low
28.4,73.7,11.1,74.9,27,34.4,cotton,Medium
29.4,68.2,5.9,79.9,124,71.6,maize,Low
21.7,79.3,6.3,92.0,71,71.5,wheat,Medium
18.7,38.1,2.4,50.5,37,47.6,sugarcane,Low
24.5,81.4,20.8,73.4,128,30.0,soybean,Medium
31.4,69.6,2.7,70.2,151,76.8,maize,Low
26.4,68.0,4.0,39.6,102,60.5,wheat,Low
40.1,42.5,0.3,46.8,152,61.1,potato,Low
15.3,63.2,4.2,20.5,154,68.7,potato,Low
10.8,67.2,2.8,34.1,12,82.3,cotton,Medium
26.5,65.7,3.9,70.4,97,66.3,maize,Medium
35.8,40.1,3.0,71.6,111,100.0,cotton,Low
25.0,77.3,5.2,89.6,132,55.4,maize,High
12.9,38.3,3.0,79.0,139,85.6,soybean,Low
23.4,64.3,6.3,87.9,143,60.7,tomato,Low
28.4,80.5,22.9,84.3,14,40.1,sugarcane,High
20.2,53.8,3.7,21.6,164,77.2,maize,Low
13.9,58.1,4.5,46.8,173,71.1,wheat,Low
21.8,57.7,2.8,70.3,44,62.5,cotton,Low
35.9,40.1,2.8,30.1,18,61.3,soybean,Low
24.3,65.6,4.7,20.7,116,48.2,soybean,Medium
23.8,82.1,29.8,68.9,30,29.0,sugarcane,Critical
25.0,71.4,6.7,79.2,85,73.9,maize,Low
19.4,60.1,4.5,59.4,157,57.0,rice,Low
32.5,81.6,30.7,84.3,33,35.2,potato,Medium
31.6,59.7,9.1,73.4,20,59.1,wheat,Low
26.5,74.7,39.7,65.0,32,34.1,sugarcane,Medium
26.3,65.6,4.6,20.1,168,63.4,wheat,Medium
22.8,65.3,7.2,78.9,22,58.8,rice,Medium
28.6,90.8,23.2,89.9,141,31.1,chili,High
30.8,76.6,28.1,91.4,104,17.5,sugarcane,Critical
26.5,64.5,8.2,77.5,83,68.0,wheat,Low
27.6,77.7,14.1,90.5,178,31.4,chili,Medium
23.5,75.9,36.6,82.1,49,10.6,potato,High
28.9,94.9,11.4,74.9,56,29.0,tomato,High
6.6,58.0,4.6,27.2,21,51.5,soybean,Medium
22.5,66.2,7.8,87.2,101,72.4,cotton,Medium
25.7,73.2,20.8,65.0,57,35.3,rice,Low
27.8,59.2,1.0,40.9,82,65.7,tomato,Low
29.0,95.8,23.8,87.9,33,29.2,wheat,Critical
23.1,72.1,3.5,22.6,121,71.9,chili,Medium
34.9,36.9,2.9,73.9,178,82.2,cotton,Medium
29.3,95.2,21.5,65.1,116,30.1,potato,High
11.1,56.1,0.0,26.7,39,44.5,soybean,Low
25.4,63.8,3.9,78.2,152,60.8,chili,Low
28.2,61.0,2.3,54.8,116,63.3,onion,Low
42.6,19.2,1.9,48.8,105,71.1,maize,Medium
20.4,76.0,9.7,60.6,28,51.3,chili,High
40.5,16.7,1.2,57.6,99,66.1,tomato,Low
29.0,69.8,4.4,24.9,180,65.1,wheat,Medium
29.7,74.5,21.2,79.6,170,21.3,sugarcane,High
43.1,28.6,2.6,39.2,62,86.5,potato,Low
25.9,70.8,7.3,91.5,141,72.4,tomato,Low
41.3,37.1,1.6,49.8,42,100.0,wheat,Medium
28.8,76.9,19.1,60.8,21,21.2,potato,High
12.6,48.7,2.3,54.0,82,70.8,onion,Low
39.8,30.1,2.2,75.4,163,100.0,tomato,Low
30.3,26.8,0.8,39.0,175,77.0,cotton,Low
33.3,27.1,0.9,75.7,122,69.1,sugarcane,Medium
24.1,55.2,2.2,40.3,118,75.3,onion,Low
30.8,69.1,5.8,81.3,19,47.7,wheat,Medium
32.6,29.2,0.7,50.7,159,82.0,tomato,Medium
15.5,48.5,0.0,25.3,148,61.4,rice,Low
22.2,79.2,9.0,70.6,58,51.7,soybean,Medium
14.2,41.4,2.9,65.3,150,59.6,onion,Low
19.3,43.9,0.0,29.2,5,61.2,soybean,Medium
22.2,61.5,9.1,94.8,131,68.2,tomato,Medium
27.9,75.0,6.7,65.7,71,46.5,maize,Low
34.6,23.0,0.0,37.5,79,79.6,rice,Low
38.6,36.3,1.4,25.8,97,95.0,potato,Medium
24.8,51.5,1.2,50.2,44,53.4,maize,Low
24.2,94.5,10.9,91.1,118,32.9,onion,Medium
11.5,48.2,0.1,27.8,58,45.1,maize,Low
25.6,82.9,11.3,61.5,69,41.7,wheat,Low
